                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1076,                  1.558,                 1.5197,                0.83866,                 0.8963,                 0.9448,                0.72478,                0.90782,                0.99345,                 1.4296,             0.00025532,             0.00025532,             0.00025532
                      2,                 1.1485,                 1.1295,                 1.5206,                 0.7764,                0.83008,                0.88729,                0.63011,                  1.045,                0.96646,                 1.5147,             0.00050659,             0.00050659,             0.00050659
                      3,                 1.1324,                 1.0515,                 1.4934,                0.81424,                 0.8164,                0.88606,                 0.6488,                0.98361,                0.94031,                 1.4867,             0.00075278,             0.00075278,             0.00075278
                      4,                 1.1062,                0.98611,                 1.4797,                0.84593,                0.88993,                0.92602,                0.66914,                0.89103,                0.67466,                 1.3662,             0.00074616,             0.00074616,             0.00074616
                      5,                 1.0437,                0.89579,                 1.4224,                0.92594,                0.93119,                0.96716,                0.75046,                0.86261,                0.56544,                 1.3197,             0.00073855,             0.00073855,             0.00073855
                      6,                 0.9865,                 0.7996,                 1.3817,                0.93184,                0.91277,                0.95533,                0.72639,                0.90769,                0.62214,                 1.3608,             0.00073093,             0.00073093,             0.00073093
                      7,                0.94353,                0.76229,                 1.3521,                0.93559,                0.96796,                0.97416,                0.77796,                0.74766,                0.49925,                 1.2212,             0.00072332,             0.00072332,             0.00072332
                      8,                0.93736,                0.71424,                 1.3518,                0.92635,                0.96556,                0.96828,                0.76971,                0.78244,                0.49729,                 1.2683,             0.00071571,             0.00071571,             0.00071571
                      9,                0.92714,                0.69175,                 1.3276,                0.95784,                 0.9678,                0.97694,                0.79858,                0.72604,                0.44465,                 1.2026,              0.0007081,              0.0007081,              0.0007081
                     10,                0.87851,                 0.6506,                 1.2947,                0.96213,                0.97737,                0.98054,                0.80241,                0.65851,                0.42495,                 1.1517,             0.00070048,             0.00070048,             0.00070048
                     11,                0.87709,                0.64788,                 1.3027,                0.96597,                0.96934,                0.97639,                0.83953,                 0.6368,                0.38465,                 1.1392,             0.00069287,             0.00069287,             0.00069287
