                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0868,                 2.4401,                 1.4758,                0.83467,                0.81156,                0.89437,                0.56278,                 1.0863,                 1.1756,                 1.5473,             0.00025532,             0.00025532,             0.00025532
                      2,                 1.0505,                 1.4481,                 1.4109,                0.80877,                0.78067,                0.87442,                0.60407,                 1.0627,                 1.0461,                  1.548,             0.00050659,             0.00050659,             0.00050659
                      3,                 1.0265,                 1.1559,                 1.3821,                0.87172,                0.93241,                0.94322,                0.68595,                0.94499,                0.80142,                 1.3704,             0.00075278,             0.00075278,             0.00075278
                      4,                 1.0147,                 1.0059,                 1.3741,                0.92486,                0.94149,                0.95998,                0.75381,                0.80943,                0.63737,                 1.2827,             0.00074616,             0.00074616,             0.00074616
                      5,                0.96777,                0.88503,                 1.3391,                0.94699,                0.91279,                0.96861,                0.73348,                0.78877,                0.63434,                 1.2449,             0.00073855,             0.00073855,             0.00073855
                      6,                 0.9342,                0.77982,                  1.312,                0.95167,                0.94153,                0.96963,                0.71705,                0.87629,                0.55646,                 1.2894,             0.00073093,             0.00073093,             0.00073093
                      7,                0.91207,                0.75656,                 1.2985,                0.94584,                0.97383,                0.97023,                0.78136,                 0.7069,                0.49847,                 1.1739,             0.00072332,             0.00072332,             0.00072332
                      8,                0.89319,                0.70131,                 1.2829,                0.95126,                0.97031,                0.96854,                0.81341,                  0.658,                 0.4999,                 1.1376,             0.00071571,             0.00071571,             0.00071571
                      9,                0.88271,                0.68103,                 1.2693,                0.92689,                0.95982,                0.96453,                 0.7972,                0.71629,                0.50519,                 1.1866,              0.0007081,              0.0007081,              0.0007081
                     10,                0.84837,                0.65294,                 1.2487,                0.95258,                0.95199,                0.96799,                0.80161,                0.64766,                 0.4576,                 1.1362,             0.00070048,             0.00070048,             0.00070048
                     11,                 0.8424,                0.63192,                 1.2493,                0.94286,                 0.9602,                0.97122,                0.80393,                0.70775,                0.46509,                 1.1727,             0.00069287,             0.00069287,             0.00069287
                     12,                0.82633,                0.61868,                  1.237,                0.92103,                0.95133,                0.97236,                0.81129,                0.64878,                0.46943,                 1.1379,             0.00068526,             0.00068526,             0.00068526
                     13,                0.82305,                0.60323,                 1.2309,                 0.9664,                0.95581,                0.97873,                0.82393,                0.62396,                0.41628,                 1.1094,             0.00067764,             0.00067764,             0.00067764
