                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1036,                 2.2026,                 1.4744,                0.89612,                0.91131,                0.94949,                0.63388,                 1.0841,                0.91546,                 1.5147,             0.00025532,             0.00025532,             0.00025532
                      2,                 1.0589,                 1.0232,                 1.4041,                0.75487,                0.86402,                0.92211,                0.67807,                 0.9208,                0.85102,                 1.3845,             0.00050659,             0.00050659,             0.00050659
                      3,                 1.0632,                0.93569,                 1.3962,                0.88001,                0.87314,                0.92443,                0.65185,                 1.0692,                0.76353,                 1.4717,             0.00075278,             0.00075278,             0.00075278
                      4,                 1.0465,                0.88146,                 1.3915,                 0.8953,                0.91599,                0.95303,                0.70309,                0.90577,                0.62978,                 1.3458,             0.00074616,             0.00074616,             0.00074616
                      5,                 0.9962,                0.80349,                 1.3543,                0.90553,                0.93188,                0.96486,                0.71382,                0.93161,                0.62981,                 1.3512,             0.00073855,             0.00073855,             0.00073855
                      6,                0.94978,                0.73745,                 1.3184,                0.91524,                0.95744,                 0.9423,                0.74217,                0.83669,                0.52872,                 1.2457,             0.00073093,             0.00073093,             0.00073093
                      7,                0.91879,                 0.7235,                 1.2996,                0.91216,                0.95406,                0.96948,                0.78049,                0.75904,                0.49521,                 1.2035,             0.00072332,             0.00072332,             0.00072332
                      8,                0.92325,                0.67839,                 1.2999,                0.96115,                0.97032,                0.97969,                0.80667,                0.70821,                0.43904,                 1.1719,             0.00071571,             0.00071571,             0.00071571
                      9,                0.89194,                0.65089,                 1.2733,                0.95223,                0.97861,                0.97335,                0.80576,                0.67583,                0.43654,                 1.1608,              0.0007081,              0.0007081,              0.0007081
                     10,                0.85831,                0.62473,                 1.2501,                0.94769,                 0.9631,                 0.9645,                0.82919,                0.63631,                 0.4095,                  1.135,             0.00070048,             0.00070048,             0.00070048
                     11,                0.84965,                0.61664,                 1.2525,                0.94164,                0.96504,                0.96538,                0.81029,                0.68331,                0.43313,                 1.1512,             0.00069287,             0.00069287,             0.00069287
                     12,                0.82287,                0.59112,                 1.2338,                0.96708,                0.95854,                0.97419,                 0.8052,                0.68775,                0.40853,                 1.1371,             0.00068526,             0.00068526,             0.00068526
                     13,                0.81539,                0.57018,                 1.2222,                0.96688,                0.96861,                0.97603,                0.81214,                0.65768,                0.39347,                 1.0998,             0.00067764,             0.00067764,             0.00067764
                     14,                0.79787,                0.56777,                 1.2148,                0.96649,                0.97165,                0.97805,                 0.8367,                0.63159,                0.38433,                 1.0947,             0.00067003,             0.00067003,             0.00067003
                     15,                 0.7909,                0.54682,                 1.2077,                0.96155,                0.96551,                0.97199,                0.83594,                0.61566,                0.39736,                 1.0859,             0.00066242,             0.00066242,             0.00066242
                     16,                0.76963,                0.52553,                 1.1928,                0.96498,                0.97269,                0.97746,                0.82556,                0.66121,                0.39391,                 1.1085,              0.0006548,              0.0006548,              0.0006548
                     17,                0.76008,                0.52019,                 1.1908,                0.96589,                0.97548,                0.97523,                 0.8368,                0.60206,                0.35742,                 1.0876,             0.00064719,             0.00064719,             0.00064719
                     18,                0.75227,                0.52636,                 1.1815,                0.97099,                0.97012,                0.97479,                0.85384,                0.56771,                 0.3569,                 1.0509,             0.00063958,             0.00063958,             0.00063958
                     19,                0.74188,                0.49626,                 1.1754,                 0.9729,                0.97606,                0.97657,                0.84589,                0.57909,                0.33825,                 1.0617,             0.00063196,             0.00063196,             0.00063196
                     20,                0.74027,                0.49492,                  1.172,                0.96278,                0.97772,                0.97932,                 0.8519,                0.56253,                0.33796,                 1.0514,             0.00062435,             0.00062435,             0.00062435
                     21,                0.72971,                0.48717,                 1.1654,                0.96882,                0.97361,                 0.9843,                0.85831,                0.56267,                0.34059,                 1.0531,             0.00061674,             0.00061674,             0.00061674
                     22,                 0.7168,                0.47976,                 1.1577,                0.97326,                0.97491,                0.97945,                0.82748,                0.63361,                0.34843,                 1.0943,             0.00060912,             0.00060912,             0.00060912
                     23,                0.71854,                0.47918,                  1.163,                0.97103,                0.97463,                0.97867,                0.84898,                0.58243,                0.32895,                 1.0422,             0.00060151,             0.00060151,             0.00060151
                     24,                0.70475,                0.46388,                 1.1462,                0.97291,                 0.9738,                0.97778,                0.86268,                0.55995,                0.33465,                 1.0528,              0.0005939,              0.0005939,              0.0005939
                     25,                0.69833,                0.45949,                 1.1525,                0.97399,                0.97201,                0.97396,                0.85769,                0.56679,                0.33712,                 1.0481,             0.00058629,             0.00058629,             0.00058629
                     26,                0.67265,                0.44423,                 1.1361,                0.96307,                0.97974,                0.98034,                0.86899,                0.53254,                0.32089,                 1.0257,             0.00057867,             0.00057867,             0.00057867
                     27,                0.67809,                0.44962,                  1.137,                0.96594,                0.96799,                0.97935,                 0.8664,                0.53094,                0.31877,                 1.0234,             0.00057106,             0.00057106,             0.00057106
                     28,                0.67854,                0.44716,                  1.135,                0.97671,                0.97964,                0.97863,                0.85906,                0.54412,                0.31414,                 1.0291,             0.00056345,             0.00056345,             0.00056345
                     29,                0.66029,                0.43649,                  1.125,                0.96082,                 0.9754,                0.96906,                0.86086,                0.51824,                0.31829,                 1.0177,             0.00055583,             0.00055583,             0.00055583
                     30,                0.64867,                0.42941,                  1.122,                0.97573,                0.97437,                0.97319,                0.86251,                0.53001,                0.30818,                 1.0226,             0.00054822,             0.00054822,             0.00054822
                     31,                0.65185,                0.42816,                 1.1229,                0.96903,                0.98403,                0.98083,                0.87051,                0.52821,                0.29992,                 1.0222,             0.00054061,             0.00054061,             0.00054061
                     32,                0.65004,                0.42618,                 1.1154,                0.97299,                0.98142,                0.97885,                0.86093,                0.56792,                0.31422,                 1.0403,             0.00053299,             0.00053299,             0.00053299
                     33,                0.64222,                0.42206,                 1.1117,                0.98176,                0.98425,                 0.9823,                0.87677,                0.50903,                 0.2961,                  1.017,             0.00052538,             0.00052538,             0.00052538
                     34,                0.63029,                0.40704,                 1.1048,                0.97486,                0.97881,                0.98485,                0.86648,                0.53145,                0.30706,                 1.0205,             0.00051777,             0.00051777,             0.00051777
                     35,                0.63643,                0.40772,                 1.1155,                0.98079,                0.97571,                0.98189,                0.88057,                0.51265,                0.29818,                 1.0077,             0.00051015,             0.00051015,             0.00051015
                     36,                0.63106,                0.40289,                 1.1116,                0.97597,                0.97974,                0.98327,                0.87975,                 0.5181,                0.28459,                 1.0059,             0.00050254,             0.00050254,             0.00050254
                     37,                0.62479,                0.40286,                 1.1018,                 0.9678,                0.98019,                0.97693,                0.87204,                 0.5112,                0.29948,                 1.0086,             0.00049493,             0.00049493,             0.00049493
                     38,                 0.6268,                0.40308,                 1.1035,                0.97196,                0.97525,                0.98335,                 0.8783,                0.50869,                0.28974,                0.99911,             0.00048732,             0.00048732,             0.00048732
                     39,                0.61803,                0.39333,                 1.0983,                0.97427,                0.97471,                 0.9813,                 0.8841,                0.51737,                0.28153,                 1.0116,              0.0004797,              0.0004797,              0.0004797
                     40,                0.61006,                0.38918,                 1.0977,                0.97412,                0.98041,                0.98248,                0.88075,                0.51715,                0.29094,                 1.0001,             0.00047209,             0.00047209,             0.00047209
                     41,                 0.6019,                0.38463,                 1.0934,                0.97817,                0.97628,                0.97529,                0.87498,                0.50167,                0.28084,                 1.0097,             0.00046448,             0.00046448,             0.00046448
                     42,                0.60055,                0.37988,                 1.0931,                0.97189,                0.97428,                0.97346,                0.87732,                0.48568,                 0.2853,                 1.0034,             0.00045686,             0.00045686,             0.00045686
                     43,                0.59279,                0.37583,                 1.0838,                0.97476,                0.97967,                0.98206,                0.88763,                0.48953,                0.28538,                0.99619,             0.00044925,             0.00044925,             0.00044925
                     44,                0.58575,                0.37132,                 1.0795,                0.97766,                0.97271,                 0.9796,                0.88094,                0.49708,                0.28589,                0.99824,             0.00044164,             0.00044164,             0.00044164
                     45,                0.58681,                 0.3743,                  1.089,                0.97926,                0.97506,                0.97955,                 0.8882,                0.48929,                0.27554,                0.99568,             0.00043402,             0.00043402,             0.00043402
                     46,                0.58037,                0.36642,                 1.0795,                0.97649,                0.97601,                0.97585,                0.89342,                0.47805,                0.27677,                0.99093,             0.00042641,             0.00042641,             0.00042641
                     47,                0.57861,                0.36838,                 1.0793,                0.97624,                0.97251,                0.97901,                0.89067,                0.49221,                0.28245,                 1.0039,              0.0004188,              0.0004188,              0.0004188
                     48,                0.57835,                0.36287,                  1.074,                0.97597,                0.97922,                0.97543,                0.88784,                0.48908,                0.27311,                0.99976,             0.00041118,             0.00041118,             0.00041118
                     49,                0.57044,                0.36429,                 1.0745,                0.97611,                0.98523,                0.97581,                0.88781,                0.47584,                0.26856,                0.97971,             0.00040357,             0.00040357,             0.00040357
                     50,                0.55228,                 0.3535,                 1.0651,                0.97122,                0.97312,                0.97488,                0.88191,                0.48867,                0.27116,                0.99802,             0.00039596,             0.00039596,             0.00039596
                     51,                0.56407,                0.35593,                  1.069,                0.97595,                0.97673,                0.97478,                 0.8867,                0.49142,                 0.2862,                0.99536,             0.00038835,             0.00038835,             0.00038835
                     52,                0.56033,                0.35016,                 1.0663,                0.97666,                0.97962,                0.97653,                0.89221,                0.48069,                0.26863,                0.99432,             0.00038073,             0.00038073,             0.00038073
                     53,                0.54399,                0.34909,                 1.0593,                0.97451,                0.98055,                0.97653,                0.89283,                0.47319,                0.27362,                0.98455,             0.00037312,             0.00037312,             0.00037312
                     54,                0.54126,                0.33753,                 1.0589,                0.97751,                0.98276,                0.97736,                0.88814,                0.47769,                0.27899,                0.98585,             0.00036551,             0.00036551,             0.00036551
                     55,                0.54422,                 0.3409,                 1.0577,                0.97985,                0.98211,                0.97643,                0.89036,                0.47786,                 0.2823,                0.99371,             0.00035789,             0.00035789,             0.00035789
                     56,                 0.5305,                0.32977,                 1.0457,                0.97833,                 0.9855,                0.97724,                0.89424,                0.46779,                0.26684,                0.98634,             0.00035028,             0.00035028,             0.00035028
                     57,                0.54429,                0.34065,                 1.0557,                0.97561,                0.98119,                0.98091,                0.89464,                0.46291,                0.27174,                0.97577,             0.00034267,             0.00034267,             0.00034267
                     58,                0.53398,                0.33448,                 1.0506,                0.98285,                0.97904,                0.97998,                0.89935,                0.46916,                0.26966,                0.98097,             0.00033505,             0.00033505,             0.00033505
                     59,                0.53428,                0.33211,                  1.055,                0.97679,                0.98256,                0.97716,                0.88973,                0.46902,                0.26425,                0.97891,             0.00032744,             0.00032744,             0.00032744
                     60,                0.52765,                0.32695,                 1.0465,                0.97791,                0.98323,                0.97593,                 0.8946,                0.46536,                0.26215,                0.98533,             0.00031983,             0.00031983,             0.00031983
                     61,                0.52605,                 0.3232,                  1.047,                0.97963,                0.97953,                0.97718,                0.89543,                0.46722,                 0.2613,                0.98416,             0.00031221,             0.00031221,             0.00031221
                     62,                0.51382,                0.32276,                 1.0411,                0.97678,                0.97979,                0.98393,                0.89631,                0.47571,                0.25881,                0.99097,              0.0003046,              0.0003046,              0.0003046
